otu_ID,asv_ID,asv_ID_top,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
33,ASV_4239,ASV_4239,NA,Entamoeba,NA,Entamoeba,1,4239,Y
33,ASV_5651,ASV_4239,NA,Entamoeba,NA,Entamoeba,1,4239,Y
67,ASV_1961,ASV_1961,NA,Hypotrichomonas,NA,Hypotrichomonas,1,1961,Y
67,ASV_5779,ASV_1961,NA,Hypotrichomonas,NA,Hypotrichomonas,1,1961,Y
82,ASV_1247,ASV_3734,Oligacanthorhynchida,Moniliformis_moniliformis,NA,Moniliformis_moniliformis,2,3734,Y
82,ASV_1321,ASV_3734,Oligacanthorhynchida,Moniliformis_moniliformis,NA,Moniliformis_moniliformis,2,3734,Y
82,ASV_2377,ASV_3734,Oligacanthorhynchida,Moniliformis_moniliformis,NA,Moniliformis_moniliformis,2,3734,Y
82,ASV_3734,ASV_3734,Oligacanthorhynchida,Moniliformis_moniliformis,NA,Moniliformis_moniliformis,2,3734,Y
102,ASV_1428,ASV_1428,NA,Entamoeba,NA,Entamoeba,2,1428,Y
103,ASV_1466,ASV_1466,NA,Entamoeba,NA,Entamoeba,3,1466,Y
104,ASV_1627,ASV_709,NA,Entamoeba,Entamoeba_muris,Entamoeba,5,709,Y
104,ASV_709,ASV_709,NA,Entamoeba,Entamoeba_muris,Entamoeba,5,709,Y
113,ASV_261,ASV_261,Cryptosporidium,Cryptosporidium,NA,Cryptosporidium,3,261,Y
113,ASV_3053,ASV_261,Cryptosporidium,Cryptosporidium,NA,Cryptosporidium,3,261,Y
113,ASV_5200,ASV_261,Cryptosporidium,Cryptosporidium,NA,Cryptosporidium,3,261,Y
113,ASV_5823,ASV_261,Cryptosporidium,Cryptosporidium,NA,Cryptosporidium,3,261,Y
182,ASV_6079,ASV_6079,Microsporidia,Eukaryota,Microsporidia,Microsporidia,1,6079,Y
182,ASV_8025,ASV_6079,Microsporidia,Eukaryota,Microsporidia,Microsporidia,1,6079,Y
184,ASV_4747,ASV_4747,Microsporidia,Eukaryota,Microsporidia,Microsporidia,1,4747,Y
184,ASV_6633,ASV_4747,Microsporidia,Eukaryota,Microsporidia,Microsporidia,1,4747,Y
198,ASV_1141,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_1157,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_1488,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_166,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_179,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_1843,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_1862,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_214,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_2574,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_273,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_2890,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_3399,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_3608,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_48,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_5044,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_587,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_865,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_914,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
198,ASV_92,ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
199,ASV_3028,ASV_3455,Hexamastix,Eukaryota,NA,Hexamastix,2,3455,Y
199,ASV_3455,ASV_3455,Hexamastix,Eukaryota,NA,Hexamastix,2,3455,Y
203,ASV_1021,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1071,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1159,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1243,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1331,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1386,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1414,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_146,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1469,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1577,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1772,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1884,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1958,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_1962,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2008,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_205,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2135,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_221,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2279,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2311,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_258,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2597,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2650,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2853,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_2999,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_3036,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_3071,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_3140,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_339,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_3423,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_347,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_3479,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_36,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_3601,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_4180,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
203,ASV_43,ASV_36,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,109,36,Y
