ASV,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
ASV_10,Tritrichomonas,Tritrichomonas,0,Tritrichomonas,181,10,Y
ASV_1003,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,6,1003,Y
ASV_6,Rhabditida,Nippostrongylus_brasiliensis,,Nippostrongylus_brasiliensis,143,6,Y
ASV_10072,Eimeria,Eimeria,,Eimeria,1,10072,Y
ASV_1008,Eimeria,Eimeria,,Eimeria,7,1008,Y
ASV_10095,Cyclophyllidea,Cyclophyllidea,,Cyclophyllidea,1,10095,Y
ASV_10096,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,1,10096,Y
ASV_1012,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,2,1012,Y
ASV_35,Trichosporon,Fungi,Trichosporon,Trichosporon,112,35,M
ASV_102,Tritrichomonas,Tritrichomonas_sp._MEG-2016a,,Tritrichomonas,22,102,Y
ASV_25,Rhabditida,Nippostrongylus_brasiliensis,,Nippostrongylus_brasiliensis,89,25,Y
ASV_1021,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,6,1021,Y
ASV_3075,unclassified_Eimeriorina,Eimeria,,Eimeria,2,3075,Y
ASV_93,Trichosporon,Fungi,,Trichosporon,84,93,M
ASV_89,Trichosporon,Fungi,,Trichosporon,59,89,M
ASV_206,Trichosporon,Fungi,,Trichosporon,41,206,M
ASV_103,Eimeria,Eimeria,,Eimeria,17,103,Y
ASV_3669,unclassified_Eimeriorina,Eimeria,,Eimeria,1,3669,Y
ASV_57,Blastocystis,Eukaryota,Blastocystis,Blastocystis,32,57,Y
ASV_48,Hexamastix,Eukaryota,Hexamastix,Hexamastix,28,48,Y
ASV_208,NA,SAR,Apicomplexa,Apicomplexa,23,208,M
ASV_481,unclassified_Parabasalia,Simplicimonas_similis,Simplicimonas,Simplicimonas,23,481,Y
ASV_154,Rhabditida,Rhabditida,,Rhabditida,22,154,Y
ASV_1040,Eimeria,Eimeria,,Eimeria,3,1040,Y
ASV_460,Simplicimonas,Simplicimonas,,Simplicimonas,21,460,Y
ASV_179,Hexamastix,Eukaryota,,Hexamastix,20,179,Y
ASV_105,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,26,105,Y
ASV_582,Simplicimonas,Eukaryota,Simplicimonas,Simplicimonas,19,582,Y
ASV_496,unclassified_Parabasalia,Simplicimonas_similis,Simplicimonas,Simplicimonas,19,496,Y
ASV_53,Rhabditida,Rhabditida,,Rhabditida,18,53,Y
ASV_293,NA,Apicomplexa,,Apicomplexa,17,293,M
ASV_106,Eimeria,Eimeria_sp._ex_Apodemus_agrarius,,Eimeria,7,106,Y
ASV_10611,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,10611,Y
ASV_10671,Eimeria,Eimeria_myoxi,,Eimeria,1,10671,Y
ASV_654,Simplicimonas,Eukaryota,Simplicimonas,Simplicimonas,17,654,Y
ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
ASV_501,unclassified_Parabasalia,Tritrichomonas_muris,,Tritrichomonas,14,501,Y
ASV_827,unclassified_Parabasalia,Simplicimonas_similis,Simplicimonas,Simplicimonas,13,827,Y
ASV_1071,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,4,1071,Y
ASV_177,Rhabditida,Labiostrongylus_bipapillosus,,Rhabditida,12,177,Y
ASV_741,Trichosporon,Opisthokonta,Trichosporon,Trichosporon,12,741,M
ASV_10735,Cyclophyllidea,Cyclophyllidea,,Cyclophyllidea,1,10735,Y
ASV_473,Tritrichomonas,Eukaryota,Tritrichomonas,Tritrichomonas,12,473,Y
ASV_10767,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,10767,Y
ASV_866,unclassified_Hypotrichomonadea,Trichomitus_batrachorum,Hypotrichomonas,Hypotrichomonas,12,866,Y
ASV_1079,Cyclophyllidea,Cyclophyllidea,,Cyclophyllidea,1,1079,Y
ASV_252,NA,Entamoeba,Entamoeba,Entamoeba,11,252,Y
ASV_1081,Eimeria,Eimeria_ferrisi,,Eimeria,3,1081,Y
ASV_5680,unclassified_Eimeriorina,Eimeria,,Eimeria,1,5680,Y
ASV_10822,unclassified_Eucestoda,Cyclophyllidea,,Cyclophyllidea,1,10822,Y
ASV_2988,unclassified_Eucestoda,Cyclophyllidea,,Cyclophyllidea,1,2988,Y
ASV_540,Animalia,Nippostrongylus_brasiliensis,Nippostrongylus_brasiliensis,Nippostrongylus_brasiliensis,10,540,Y
ASV_480,Rhabditida,Rhabditida,,Rhabditida,10,480,Y
ASV_1090,Eimeria,Eimeria_polita,,Eimeria,1,1090,Y
ASV_10900,Blastocystis,Blastocystis_sp._OSU14,,Blastocystis,1,10900,Y
ASV_643,Rhabditida,Rhabditida,,Rhabditida,10,643,Y
ASV_3639,unclassified_Eucestoda,Cyclophyllidea,,Cyclophyllidea,1,3639,Y
ASV_10938,Cyclophyllidea,Cyclophyllidea,,Cyclophyllidea,1,10938,Y
ASV_891,Simplicimonas,Eukaryota,Simplicimonas,Simplicimonas,10,891,Y
ASV_649,unclassified_Parabasalia,Simplicimonas,Simplicimonas,Simplicimonas,10,649,Y
ASV_724,unclassified_Parabasalia,Tritrichomonas,,Tritrichomonas,10,724,Y
ASV_214,Hexamastix,Silene_conica,Hexamastix,Hexamastix,9,214,Y
ASV_1103,Hypotrichomonas,Hypotrichomonas,,Hypotrichomonas,5,1103,Y
ASV_273,Hexamastix,Eukaryota,Hexamastix,Hexamastix,9,273,Y
ASV_1107,Eimeria,Eimeria,,Eimeria,6,1107,Y
ASV_1108,Eimeria,Eimeria_myoxi,,Eimeria,3,1108,Y
ASV_188,NA,SAR,Eukaryota,Eukaryota,9,188,N
ASV_622,Rhabditida,Rhabditida,,Rhabditida,9,622,Y
ASV_971,Tritrichomonas,Eukaryota,Tritrichomonas,Tritrichomonas,9,971,Y
ASV_573,unclassified_Trichostomatia,Neobalantidium_coli,Balantiodes coli,Neobalantidium_coli,9,573,Y
ASV_6151,unclassified_Eucestoda,Cyclophyllidea,,Cyclophyllidea,1,6151,Y
ASV_1113,Eimeria,Eimeria,,Eimeria,4,1113,Y
