museum_number,animal_id,day,month,year,season,final_identification,field_identification,preparation,locality,dist_village_center,village,grid_name,grid_number,habitat_type,trap_type,trap_number,pitfall_position,latitude,longitude,elevation.obs,sex,tl,tv,hf,ear,mass,hb,testicle_position,testicle_length,testicle_width,epididym,mammae_condition,mammae_number_ax,mammae_number_ab,mammae_number_ing,vagina,embryos_l,embryos_r,embryos_cr,placental_scars_l,placental_scars_r,age_repro,age_dental,habitat_description,notes
NA,NRW03,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,95,NA,-14.465907,49.79841501,NA,female,365,200,32,30,105,160,NA,NA,NA,NA,small,1,2,2,perf.,NA,NA,NA,3,4,2,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW04,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,75,NA,-14.46585696,49.79859497,NA,male,340,190,31,20,110,160,scrotal,25,10,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW05,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,12,NA,-14.46550199,49.79901298,NA,male,330,175,34,22,100,160,scrotal,17,10,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW06,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,100,NA,-14.466324,49.79857896,NA,male,305,160,28,22,54,138,abdominal,8,4,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW07,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,86,NA,-14.46594103,49.79851099,NA,female,380,215,32,21,145,165,NA,NA,NA,NA,small,1,2,2,perf.,3,0,33x12,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",FTA interl labels are incorrect
NA,NRW08,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,55,NA,-14.46581103,49.79873696,NA,male,395,210,32,23,150,175,scrotal,NA,NA,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",FTA interl labels are incorrect
NA,NRW09,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,56,NA,-14.46588303,49.79876898,NA,female,[340],[130],31,23,150,175,NA,NA,NA,NA,large,1,2,2,perf.,NA,NA,NA,NA,NA,NA,1,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree","FTA interl labels are incorrect, gave birth to 5 babies in trap"
NA,NRW10,30,5,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Forest,NA,secondary_forest,Sherman,64,NA,-14.46577197,49.79860998,NA,female,345,193,23,21,130,183,NA,NA,NA,NA,small,1,2,2,perf.,2,2,26x15,NA,NA,3,2,"old savoka dominated by Aframomum sp. Mongo tree, pineapple and bamboo tree",NA
NA,NRW100,29,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,64,NA,-14.47775097,49.81026996,NA,male,366,194,33,21,120,175,scrotal,22,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
NA,NRW101,29,6,2017,3,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Village,NA,agriculture,Sherman,61,NA,-14.47782297,49.80999797,NA,male,384,214,33,24,114,175,scrotal,21,11,con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,fallow rice field and brush near village,NA
