"survey_date","locality","village","grid_name","grid_number","plot","plot_number","square","dead_logs","tree_circumference","tree_dbh","tree_height","crown_distance_length","crown_distance_width","liana_number","herbaceous_height","herbaceous_cover","canopy_cover","observation","season"
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"13x14x31x32",NA,1,1,NA,NA,NA,NA,NA,0,"0.2",80,0,"a path crosses the plot",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"13x14x31x32",NA,2,1,NA,NA,NA,NA,NA,0,"1",30,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"13x14x31x32",NA,3,1,NA,NA,NA,NA,NA,0,"1",10,0,"Aframomum forms around 20 % of the vegetation",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"13x14x31x32",NA,4,2,"51","16.242038216560509",7,4,4,0,NA,NA,0,"dominated by Artocarpus heterophyllus",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"13x14x31x32",NA,4,2,"202","64.331210191082803",10,15,9,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,1,0,"41.2","13.121019108280255",7,3,1.5,0,NA,NA,0,"in an Artocarpus altilis field",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,1,0,"26.6","8.4713375796178347",7,2,2,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,1,0,"34.1","10.859872611464969",8,2,1,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,1,0,"39.200000000000003","12.48407643312102",10,3,1.5,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,1,0,"39.6","12.611464968152866",8,3,3,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,1,0,"48","15.286624203821656",8,3,3,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,1,0,"49","15.605095541401273",8,3,3,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,2,1,"60","19.108280254777068",12,6,5,0,NA,NA,0,"in an Artocarpus altilis field",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,2,1,"49","15.605095541401273",12,6,5,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,2,1,"38","12.101910828025478",12,6,5,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,2,1,"29","9.2356687898089174",12,6,7,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,3,1,"32","10.19108280254777",7,2,1,0,NA,NA,0,"in an Artocarpus altilis field",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,3,1,"25","7.9617834394904454",6,2,2,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,3,1,"29","9.2356687898089174",7,3,2,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"20x21x24x25",NA,4,1,NA,NA,NA,NA,NA,0,"0",0,0,"in an Artocarpus altilis field",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,1,1,"24","7.6433121019108281",5,3,2,2,NA,NA,0,"Aframomum forms around 40 % of the vegetation, two pineapple plants with youngg fruits in the subsquare",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,1,1,"20","6.3694267515923562",5,3,3,2,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,2,1,"33","10.509554140127388",4,2,2,0,NA,NA,0,"herbcaeous cover dominated by Clidemia hirta",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,2,1,"64","20.38216560509554",9,3,2,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,2,1,"22","7.0063694267515917",5,2,2,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,3,0,"23","7.3248407643312099",4,3,1,0,NA,NA,0,"pineapple plants  form around 20 % of the vegetation, and Aframomum around 5 %",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,3,0,"56","17.834394904458598",7,8,5,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,3,0,"64","20.38216560509554",7,8,5,0,NA,NA,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"49x50x61x62",NA,4,0,"93","29.617834394904456",7,8,8,2,"0.8",10,0,"tree measured is a mango tree, Aframomum fomrs around 20 % of the vegetation",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"90x91x109x110",NA,1,1,"32","10.19108280254777",5,3,2,1,"0",0,0,"dominated by Aframomum, Clidemia hirta and Lantana camara",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"90x91x109x110",NA,2,0,"33","10.509554140127388",4,3,2,0,"0.6",5,0,"Aframomum form around 30 % of the vegeation, and cassava plants around 5 %",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"90x91x109x110",NA,3,1,"27","8.598726114649681",4,3,3,1,"0",0,0,"Aframomum forms around 40 % of the vegetation",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"90x91x109x110",NA,4,0,NA,NA,NA,NA,NA,0,"1",5,0,"Aframomum forms around 20 % of the vegetation, cassava plants around 20 % of the vegetation",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"97x98x101x102",NA,1,0,"43","13.694267515923567",7,7,6,0,"0.1",50,0,"near a vanilla field",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"97x98x101x102",NA,2,1,NA,NA,NA,NA,NA,0,"0",0,0,"Aframomum forms around 20 % of the vegetation",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"97x98x101x102",NA,3,2,"40, 45, 72","12.7, 14.3, 22.9",15,8,8,1,"0",0,0,"Aframomum forms around 50 % of the vegetation",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"97x98x101x102",NA,4,1,NA,NA,NA,NA,NA,0,"0",0,0,"near a vanilla field",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"Pitfall 1, 1 to 2",NA,1,0,NA,NA,NA,NA,NA,0,"0.3",90,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"Pitfall 1, 1 to 2",NA,2,0,NA,NA,NA,NA,NA,0,"0.2",90,0,"rocks around",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"Pitfall 1, 1 to 2",NA,3,0,NA,NA,NA,NA,NA,0,"0.4 to 1.5",40,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"Pitfall 1, 1 to 2",NA,4,1,NA,NA,NA,NA,NA,1,"0.4",90,0,NA,1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"Pitfall 1, 4 to 5",NA,1,0,NA,NA,NA,NA,NA,1,"0.4",30,0,"dominated by Aframomum",1
"2019-10-09","Madagascar, Region SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena","Mandena","Savoka",1,"Pitfall 1, 4 to 5",NA,2,0,NA,NA,NA,NA,NA,0,"0.7",20,0,"Syzygium jambos forms around 50 % of the vegetation",1
